,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,Redlight,Glockenbach,900810,https://open.spotify.com/track/24osWl0SQSyHzGyEMdf394
56,"Save Your Tears","The Weeknd",885040,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
57,"Blinding Lights","The Weeknd",865838,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
58,"Little Bit of Love","Tom Grennan",862955,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
59,Magia,"Alvaro Soler",838977,https://open.spotify.com/track/3KJ1QkwWObfuq54pgwTRyW
60,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,838573,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
61,Dynamite,ILIRA,823786,https://open.spotify.com/track/3HqQpSTLHJRKDhulVacRFb
62,"drivers license","Olivia Rodrigo",823651,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
63,"deja vu","Olivia Rodrigo",821384,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
64,Roller,"Apache 207",798262,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
65,"Fuck Love",Samo104,796022,https://open.spotify.com/track/0HhifV2v8vcNC4I3gpnwf3
66,BOUNCE,KALIM,785611,https://open.spotify.com/track/1SVI1xBJz23bUK3HrX8Kka
67,RAPSTAR,"Polo G",774283,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
68,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",772832,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
69,"Paradise (feat. Dermot Kennedy)",MEDUZA,767251,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
70,"Wer wenn nicht wir","Wincent Weiss",763341,https://open.spotify.com/track/4eNW5iyZwK6ZgyZTojV4vI
71,Lila,Kida,761155,https://open.spotify.com/track/4uzjXVcYivDXD5FHKwVVTR
72,PEPPERMINT,Luciano,756376,https://open.spotify.com/track/6V1lWr7s8CO5VkxXe4hBtg
73,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",756054,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
74,"Following The Sun",SUPER-Hi,753617,https://open.spotify.com/track/2JzXBqTIVHYX43t7EcLyMs
75,"Faded Love",Leony,749914,https://open.spotify.com/track/3RcXFW8aiRYHRaDDYBqJ76
76,"Build a Bitch","Bella Poarch",740507,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
77,"Another Love","Tom Odell",731953,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
78,"Mood (feat. iann dior)",24kGoldn,720616,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
79,"Love Not War (The Tampa Beat)","Jason Derulo",718669,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
80,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,692384,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
81,"WITHOUT YOU","The Kid LAROI",689280,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
82,Arcade,"Duncan Laurence",687420,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
83,"BAD EYEZ",Nimo,682759,https://open.spotify.com/track/5dDQDduj3EaWrPIZ9bc8tj
84,"Ramenez la coupe à la maison",Vegedream,669262,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
85,"Bessere Fehler",Nessi,660508,https://open.spotify.com/track/3qOgpguipSTOahuNq2z31T
86,"Ich ficke euch (alle)",K.I.Z,653072,https://open.spotify.com/track/0ggal2fI5xr8gtOVIhLKke
87,WEEE,"Scorpion Gang",644429,https://open.spotify.com/track/5R2HaFZUDpMNo9RslRAkSf
88,"DIS IS FASTLIFE",NGEE,637222,https://open.spotify.com/track/686JMwtROED9urmcVAwbUK
89,"Follow You","Imagine Dragons",636078,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
90,"Alles nur Image",Soufian,630237,https://open.spotify.com/track/5afmVzxz4UwrFfnJeijzVK
91,"Wenn das Schicksal trifft","Kontra K",625784,https://open.spotify.com/track/1g7alT46CACdfftqj1wxm9
92,"Unterfickt und geistig behindert",K.I.Z,625103,https://open.spotify.com/track/52P6IsUUXpVlYagiqc9lo3
93,"Wellerman - Sea Shanty","Nathan Evans",619220,https://open.spotify.com/track/54OBgO0Xwu20Jak9TMXbR7
94,"Love Again (feat. Alida)",Alok,618473,https://open.spotify.com/track/63bWXWGcWnRQvdS8bJWdkB
95,"Rise Up (feat. Vamero)",VINAI,614969,https://open.spotify.com/track/46lyJh9GYmWsHez3EsvmAx
96,"One More Time (feat. Alida)",Alida,611664,https://open.spotify.com/track/2REu6wX4KKrG6uGlTKVqu6
97,"King Kong",HBz,611182,https://open.spotify.com/track/7GIlBNE6pZRfoRfo4oL7f0
98,Anytime,"Phil The Beat",607516,https://open.spotify.com/track/58VgSGe9D9xz3BSvY9Gpua
99,Kinderkram,K.I.Z,607072,https://open.spotify.com/track/0674eBMZxpwxHWOz1pxly4
100,Bloodstream,twocolors,603083,https://open.spotify.com/track/236irGwQHCBQnRJs2zgoib
101,Airwaves,Pashanim,597176,https://open.spotify.com/track/5CqkgDH8QZjSqqI3HmYxDD
102,traitor,"Olivia Rodrigo",586804,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
103,"All We Got (feat. KIDDO)","Robin Schulz",583913,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
104,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",577345,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
105,Strip,Lena,577288,https://open.spotify.com/track/6YAbciQiCPFDURL31TgtdH
106,"Roses - Imanbek Remix","SAINt JHN",574108,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
107,"Gangsta's Paradise",Coolio,571100,https://open.spotify.com/track/7lQWRAjyhTpCWFC0jmclT4
108,Lovefool,twocolors,570653,https://open.spotify.com/track/51Of5p3lKZeOg6itfs4og4
109,"Heat Waves","Glass Animals",568097,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
110,Clubhouse,SSIO,567150,https://open.spotify.com/track/0oSIYJiJNBXIMVCUEhsN1q
111,"Das ist alles von der Kunstfreiheit gedeckt","Danger Dan",563034,https://open.spotify.com/track/5axr5HmbZwBFHkc9mlU5aC
112,Filmriss,K.I.Z,562565,https://open.spotify.com/track/1b3thE0t0BxzLqCuRkqKZE
113,"Niemand bringt Marten um",Marteria,554711,https://open.spotify.com/track/0nYSnbFVX5ghrERjwVZgwZ
114,"The One","Rea Garvey",552838,https://open.spotify.com/track/6j0l7Hjt6qeDCQnYBZuJXY
115,Unterwegs,KitschKrieg,552576,https://open.spotify.com/track/7mrWTjhYctgEQb0lJKrVWy
116,"Easy Peasy",FiNCH,552253,https://open.spotify.com/track/6bW4olKzz8M2BRYNU1ASUi
117,Goosebumps,HVME,551955,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
118,"Rap über Hass",K.I.Z,544384,https://open.spotify.com/track/21ownMQ51Jqlv8si9CTI6R
119,"My Head & My Heart","Ava Max",539671,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
120,"Allein sein","Mario Novembre",539442,https://open.spotify.com/track/11NFxVnEwPDz4LjIyKazxV
121,"Breaking Me",Topic,534821,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
122,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",528608,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
123,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,528579,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
124,Heimkommen,Fourty,521991,https://open.spotify.com/track/64ZyI00DBUUigpTanQqA0l
125,"Where The Lights Are Low","Toby Romeo",516081,https://open.spotify.com/track/0Cnb8XdGDMHAmIRBUJMkIS
126,happier,"Olivia Rodrigo",515953,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
127,Freaks,"Surf Curse",515793,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
128,"Watermelon Sugar","Harry Styles",514377,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
129,"Favourite Artist",Ufo361,514226,https://open.spotify.com/track/6z7fOAKMA2CcnVzRrNR2T3
130,Whoopty,CJ,513201,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
131,"Goosebumps - Remix","Travis Scott",511742,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
132,"you broke me first","Tate McRae",509324,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
133,"Dance Monkey","Tones And I",505235,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
134,Ordentlich,t-low,504426,https://open.spotify.com/track/40mI1rlWiHarvMDtBvPnhW
135,"VIP in der Psychiatrie",K.I.Z,503289,https://open.spotify.com/track/0b9cSSHeOuo2622idMdVTM
136,Hypnotized,"Purple Disco Machine",500657,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
137,"Lost (feat. TOPIC42)",Samra,494373,https://open.spotify.com/track/6ScxCBZE1yKr8Y0Ynl7kTl
138,"Mehr als nur ein Fan",K.I.Z,493919,https://open.spotify.com/track/4qLeL7EImVqV9ZEb1qHdbv
