,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Attrape-moi si tu peux",Sofiane,619774,https://open.spotify.com/track/6LuAtG9sa0aU8GTMd9CQnO
55,"Je t’aime de ouf",Wejdene,612776,https://open.spotify.com/track/5BUl0EBl4tOmPtT9IN0UUP
56,Bailamos,Lucenzo,608178,https://open.spotify.com/track/0mAinALNSl5TurTs9ZPUMp
57,"Never Going Home",Kungs,604450,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
58,"Floating Through Space",Sia,602521,https://open.spotify.com/track/0XwSUpdrF7nR7hVxbDs7mb
59,"Mon soleil",Dadju,595663,https://open.spotify.com/track/2Dv1CPIgX29t816ZLscdB2
60,Allo,"Marwa Loud",595456,https://open.spotify.com/track/5XRh9qvGFwy557Z9Sy8ADD
61,"KASSAV (feat. Tiakola)",Gazo,582615,https://open.spotify.com/track/25PVU9aowaP69bSYRBe3sj
62,Bebeto,"Kendji Girac",579659,https://open.spotify.com/track/5dQIouH7fnD63c0Nd7muR5
63,Cabeza,OBOY,574157,https://open.spotify.com/track/66tNDqYNR2S6Svwgm3BMi9
64,"Save Your Tears","The Weeknd",560945,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
65,"Υ. 2 DIAMANTS",Damso,558304,https://open.spotify.com/track/1swQocGVyXMAamWDjNzoLx
66,"Plaza Athénée",Booba,554755,https://open.spotify.com/track/3zfX77h21GrlhsiOuYnZNC
67,"Blinding Lights","The Weeknd",554492,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
68,"Levitating (feat. DaBaby)","Dua Lipa",546389,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
69,"1,2,3","Amel Bent",537914,https://open.spotify.com/track/7uCLrBdy5FH6T7vcJzqRd7
70,Minefields,Faouzia,533944,https://open.spotify.com/track/1OU4E4HiVjdak0mL4blVWT
71,"Dans la savane",DTF,531995,https://open.spotify.com/track/6LPQEPiXA54xGGdcqOdjdR
72,"Kimono (feat. SCH et Ninho)",Sadek,526744,https://open.spotify.com/track/54rHJPDt8DUE2RtSg6Bsrf
73,"La vie qu'on mène",Ninho,526223,https://open.spotify.com/track/0Jh6iWjna1wk5le0Ahn7No
74,Daddy,SDM,511911,https://open.spotify.com/track/2iPFEYnitXLl4lSxvqZI3m
75,"Seven Nation Army",Gaullin,510782,https://open.spotify.com/track/4SCbD68sf3dBfaE2X8uDSP
76,Butter,BTS,505661,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
77,BELLE,GIMS,504835,https://open.spotify.com/track/41xAUseykaaSdmry5hVOkV
78,"À cœur ouvert","Djadja & Dinaz",491149,https://open.spotify.com/track/1j9kCQ1R2mh2AAieXmZOZ5
79,Kayna,Booba,487824,https://open.spotify.com/track/1DSUiI4i5HBWTvDF721oj4
80,"Selfish Love (with Selena Gomez)","DJ Snake",484564,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
81,Irréversible,Jul,481114,https://open.spotify.com/track/3SVs240C1DW8ge7clwWCrd
82,"Téléphone - Extrait de CRCLR MVT SAISON II","Freeze corleone",480512,https://open.spotify.com/track/0FLegMOg3yN9e2zF5p9Vxb
83,"Watermelon Sugar","Harry Styles",476661,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
84,"3x filtré","Soso Maness",475957,https://open.spotify.com/track/6FPTqFGhgWVtHjsQb4RoKA
85,"Mannschaft (feat. Freeze Corleone)",SCH,470909,https://open.spotify.com/track/03cOUvF1fyW60AuUfUNiDc
86,"Π. VANTABLACK",Damso,468981,https://open.spotify.com/track/2n3dCM1RqyhzH5FZQW4jxA
87,"Lost Cause","Billie Eilish",463329,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
88,"Pilote (feat. Hamza)",PLK,461954,https://open.spotify.com/track/12GV2Wr4p1hBWQCrQcVsew
89,Médusa,Landy,451107,https://open.spotify.com/track/2hL0WVDLvlxZ60J4YyWvFW
90,"Zumba Cafew","Soso Maness",450312,https://open.spotify.com/track/151bDsReVEMrnmY91Fir0p
91,"Derrière le brouillard","Grand Corps Malade",449337,https://open.spotify.com/track/41mbANHqOIULPmYi5Hp4ey
92,Arcade,"Duncan Laurence",447680,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
93,"Coffre plein","Koba LaD",445709,https://open.spotify.com/track/70pkwEEG7nDTXBFqoGQkH0
94,"Dance Monkey","Tones And I",444945,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
95,"Bled (feat. Moha K)","DJ Kayz",437298,https://open.spotify.com/track/6AkipT8R573MOlOowv1l7L
96,"Fils de voyou","Soso Maness",436477,https://open.spotify.com/track/3ka9i5wAUIjpzNJlyXm3Bu
97,Footballeur,Vald,433545,https://open.spotify.com/track/2UnICGCIkxYsWnQ7taGnsN
98,Run,OneRepublic,430251,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
99,"Alors la zone",Jul,426181,https://open.spotify.com/track/3JuVcIgT9s0uvbmuQCyClB
100,Voilà,"Barbara Pravi",422771,https://open.spotify.com/track/1uAOCTevGnyKIDbgZdOCnE
101,911,Damso,422760,https://open.spotify.com/track/2chIkORxBLpPVgruGiMY8k
102,Boyz,DTF,420528,https://open.spotify.com/track/6ft69yDa4wcxA1dh1thuIj
103,"Lettre à une femme",Ninho,418393,https://open.spotify.com/track/5HEtuK03ygUzqca6yfgOYZ
104,"Marché noir",SCH,417761,https://open.spotify.com/track/3BDHFeYIrqGpL8HNkuI6zv
105,"Cette fille","Luv Resval",413806,https://open.spotify.com/track/1q9UfGqscV5U8fqleN3qzK
106,"WITHOUT YOU","The Kid LAROI",412803,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
107,EVIDEMMENT,"Green Montana",412422,https://open.spotify.com/track/3zLOqP9s9MvMRPZuwJo6ko
108,Clair-obscur,"Soso Maness",409921,https://open.spotify.com/track/5opWcV1B8wZFU7beXuXSps
109,"Elles ont trop joué avec mon cœur",Jok'air,409800,https://open.spotify.com/track/5SqR7dxbJiTSadTaVEhZ04
110,"Sur la tête de mon ex","Soso Maness",407125,https://open.spotify.com/track/16hYZyrObqi0k9xtaOO4O7
111,"Mood (feat. iann dior)",24kGoldn,401612,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
112,Réveiller,"Soso Maness",400912,https://open.spotify.com/track/2qRonGsMM4DWiSWO8wFKUe
113,Sirène,Larry,398062,https://open.spotify.com/track/0YBQKyzpWGDivSdi0OaXiH
114,"Mango - Extrait de la BO de « En Passant Pécho »",Kore,395600,https://open.spotify.com/track/1mKg1S2CE0plkFkKRnZCwl
115,"Chez nous",ISK,394353,https://open.spotify.com/track/7tSvju3LNrm3Lf2aw8raG0
116,6.3,Naps,393311,https://open.spotify.com/track/3lTL4LdFKVF51lseI2nk5D
117,Polémique,"Freeze corleone",388082,https://open.spotify.com/track/5cTitJ7nqx8eeJCNIgdHjp
118,"Vie de star (feat. Ninho)",Leto,384474,https://open.spotify.com/track/7toL2moA2sVueHJKDhVD0n
