,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Sweater Weather","The Neighbourhood",401581,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
55,"Martin & Gina","Polo G",395045,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
56,"Calling My Phone","Lil Tjay",387532,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
57,"Mood (feat. iann dior)",24kGoldn,385048,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
58,"All Eyes On Me","Bo Burnham",384250,https://open.spotify.com/track/3rV5y8rcQrwRt9fWGLmjOQ
59,"Welcome to the Internet","Bo Burnham",383855,https://open.spotify.com/track/25AvaE23MXl06YRtQcQoJS
60,"Solid (feat. Drake)","Young Stoner Life",373530,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
61,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,370362,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
62,Freaks,"Surf Curse",360748,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
63,"Watermelon Sugar","Harry Styles",353496,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
64,"Modern Day",Migos,351556,https://open.spotify.com/track/2Igem6Q4sfvXGJ3JkG7Baw
65,Avalanche,Migos,346755,https://open.spotify.com/track/4KD0lLJ4OGonZhBeKtct9I
66,Wockesha,"Moneybagg Yo",342950,https://open.spotify.com/track/0nqhKXDjsyBMvbeWmgijD0
67,Circles,"Post Malone",340700,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
68,"Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay",340243,https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv
69,"WITHOUT YOU","The Kid LAROI",338106,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
70,"Hats Off (feat. Travis Scott)","Lil Baby",334603,https://open.spotify.com/track/4lUmnwRybYH7mMzf16xB0y
71,"Seeing Green (with Drake & Lil Wayne)","Nicki Minaj",331609,https://open.spotify.com/track/1TZv3bujNaYz646eezRE91
72,"No Role Modelz","J. Cole",330824,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
73,"4 Da Gang (with Roddy Ricch)","42 Dugg",328537,https://open.spotify.com/track/1mAey8kEPmDM2icL56kS9d
74,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",328230,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
75,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,325325,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
76,"All Girls Are The Same","Juice WRLD",322491,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
77,"What’s Next",Drake,319746,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
78,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",319727,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
79,"Hold On","Justin Bieber",318151,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
80,"I Quit Drinking","Kelsea Ballerini",317852,https://open.spotify.com/track/6OcCk1dbAb7XNHsC098oEM
81,"Lil Bit",Nelly,317820,https://open.spotify.com/track/0NmuYnjETG3u3qx0OmEJev
82,"a m a r i","J. Cole",313979,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX
83,"Save Your Tears","The Weeknd",312779,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
84,"Look Who’s Inside Again","Bo Burnham",309605,https://open.spotify.com/track/7d8dqy6GbiUqotcTSs0jXg
85,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","Internet Money",307447,https://open.spotify.com/track/2IePEfMAtqWS6rLXXFZIgI
86,"Laugh Now Cry Later (feat. Lil Durk)",Drake,304659,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
87,"Lucid Dreams","Juice WRLD",304296,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
88,"Ramen & OJ","Joyner Lucas",304239,https://open.spotify.com/track/4TIqzdAssasqx3DAe6cG9J
89,"Goosebumps - Remix","Travis Scott",304032,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
90,"Malibu (feat. Polo G)",Migos,303992,https://open.spotify.com/track/3v1zVVdzNVNt7vmI9VG2gq
91,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",302550,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
92,Toxic,"Polo G",302380,https://open.spotify.com/track/3h3NKhcfHkr6GvEpC3FRI5
93,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",301120,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
94,"Clueless (with Pop Smoke & Fivio Foreign)","Polo G",298966,https://open.spotify.com/track/4CPcZHzSvIBM8AKhdHUwnL
95,"Come & Go (with Marshmello)","Juice WRLD",297718,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
96,"Wishing Well","Juice WRLD",294433,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
97,"As the World Caves In","Matt Maltese",293348,https://open.spotify.com/track/4JE6agBLHGA5TaF6FlqfBD
98,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",292459,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
99,"Dreams - 2004 Remaster","Fleetwood Mac",290942,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
100,"Run It Up (feat. Offset & Moneybagg Yo)","Lil Tjay",288531,https://open.spotify.com/track/1dg3qy5DjoJodawfOCgrTP
101,"We're Good","Dua Lipa",284302,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
102,"Dick (feat. Doja Cat)",StarBoi3,281861,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
