,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
61,"Kiss Me More (feat. SZA)","Doja Cat",63615,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
62,"Mia Zoi","Mike G",61769,https://open.spotify.com/track/0iP2NME41Inz2Hb2tS6sKJ
63,Barcode,Rack,61416,https://open.spotify.com/track/42mmyfhNOjoLBdAYirszzB
64,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",61173,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
65,Butter,BTS,59928,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
66,"Torna a casa",Måneskin,59098,https://open.spotify.com/track/3590AAEoqH50z4UmhMIY85
67,Ring,Fy,58663,https://open.spotify.com/track/5g5GOBG3mTODUxegwjK4VL
68,Apatewn,"Dani Gambino",57282,https://open.spotify.com/track/1gK70fcr4UnSDmP7KXtH0F
69,"ELA PARTO","Dani Gambino",56665,https://open.spotify.com/track/1VYv1xH7yUl0b43UVR6yA9
70,Millionaire,SNIK,55567,https://open.spotify.com/track/01Y0KGT7VzixtLyOj44x56
71,Dolce,Trannos,55339,https://open.spotify.com/track/75BOTSbHZuBTnDrA69arj6
72,Bosses,SNIK,55184,https://open.spotify.com/track/4lRQP4PC7ZHQnkPuq8N52N
73,Fimi,"Mad Clip",54915,https://open.spotify.com/track/1ObRO6vf0rLZJ57iT2Y3df
74,Neymar,Light,54424,https://open.spotify.com/track/2GOnF9OwX7CSCHzinCr3VY
75,Ligi,Light,54240,https://open.spotify.com/track/4iWDvVZZgRVgVnTtHOkHXp
76,"deja vu","Olivia Rodrigo",53816,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
77,"Den Eisai Edo",Tamta,53198,https://open.spotify.com/track/3tEIOasqpy7ghhcu5ueqGp
78,"Goosebumps - Remix","Travis Scott",52610,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
79,"Morirò da Re",Måneskin,52479,https://open.spotify.com/track/1aX0Ki80LFzzhqxqRlqbAV
80,BALACLAVA,RICTA,52345,https://open.spotify.com/track/23QiG2QFsriAivFabPDHh5
81,Pistoli,"Sin Laurent",51851,https://open.spotify.com/track/1m0N54Nrd76muGR1nynZgZ
82,KHFISOS,"FLY LO",51770,https://open.spotify.com/track/6m9mAgw4rMkGUkHuSAFdDB
83,"Louis Vuitton","Mike G",51716,https://open.spotify.com/track/1ej0sDQLcgyf8aeWOfzw4l
84,Morocco,"FLY LO",51327,https://open.spotify.com/track/4Bzee1IYWlqVHKdksLjGeo
