,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
60,Demon,Bossikan,8362,https://open.spotify.com/track/4z9inVEJzwLMPpdLhFjb51
61,Xeimwnes,SNIK,8358,https://open.spotify.com/track/1GwHMf0Opo8nNxFLCoPI4X
62,"ELA PARTO","Dani Gambino",8252,https://open.spotify.com/track/1VYv1xH7yUl0b43UVR6yA9
63,Dinero,"Trinidad Cardona",8002,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
64,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7998,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
65,Barcode,Rack,7923,https://open.spotify.com/track/42mmyfhNOjoLBdAYirszzB
66,Draco,"FLY LO",7789,https://open.spotify.com/track/6KoduR10TkW5lwKqjA6haa
67,Ring,Fy,7768,https://open.spotify.com/track/5g5GOBG3mTODUxegwjK4VL
68,Apatewn,"Dani Gambino",7761,https://open.spotify.com/track/1gK70fcr4UnSDmP7KXtH0F
69,RAPSTAR,"Polo G",7755,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
70,ISLAMABAD,"Dani Gambino",7745,https://open.spotify.com/track/5ahPNTYu8v9MNaB7vjFfyB
71,NANA,Saske,7528,https://open.spotify.com/track/6lcgBbZKhYBnOxOS5rNlYb
72,Dolce,Trannos,7484,https://open.spotify.com/track/75BOTSbHZuBTnDrA69arj6
73,Fimi,"Mad Clip",7282,https://open.spotify.com/track/1ObRO6vf0rLZJ57iT2Y3df
74,Zinedine,"Raps On The Run",7270,https://open.spotify.com/track/2Zf1yuGx7fy8WSUNV5KMZW
75,"Al Dente","Bloody Hawk",7190,https://open.spotify.com/track/4fgrbxZS3w4yFgxW6DHjF1
76,Millionaire,SNIK,7059,https://open.spotify.com/track/01Y0KGT7VzixtLyOj44x56
77,"Den Eisai Edo",Tamta,7031,https://open.spotify.com/track/3tEIOasqpy7ghhcu5ueqGp
78,Cyan,Saske,6876,https://open.spotify.com/track/7lOk3JSaMnbZhG381VLa6C
79,"deja vu","Olivia Rodrigo",6869,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
80,"Street Values",VLOSPA,6840,https://open.spotify.com/track/5008Rz0J8beglZBqnvSUCn
81,"Watermelon Sugar","Harry Styles",6837,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
82,BALACLAVA,RICTA,6830,https://open.spotify.com/track/23QiG2QFsriAivFabPDHh5
83,KHFISOS,"FLY LO",6796,https://open.spotify.com/track/6m9mAgw4rMkGUkHuSAFdDB
84,"Blinding Lights","The Weeknd",6784,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
85,Pistoli,"Sin Laurent",6744,https://open.spotify.com/track/1m0N54Nrd76muGR1nynZgZ
86,Butter,BTS,6698,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
87,"Louis Vuitton","Mike G",6690,https://open.spotify.com/track/1ej0sDQLcgyf8aeWOfzw4l
88,Viktoria,Melisses,6679,https://open.spotify.com/track/6zjzustYTCBqaUiIMY9aJ2
89,"Pano Kato Challenge",Fy,6630,https://open.spotify.com/track/5V9kspAnUm82ZIRKAUv4ub
90,"Goosebumps - Remix","Travis Scott",6592,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
91,"Big Star",Lamanif,6512,https://open.spotify.com/track/06f7xgdVdW175TCPVNZc9d
92,Ligi,Light,6393,https://open.spotify.com/track/4iWDvVZZgRVgVnTtHOkHXp
93,Morocco,"FLY LO",6370,https://open.spotify.com/track/4Bzee1IYWlqVHKdksLjGeo
94,"drivers license","Olivia Rodrigo",6304,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
95,"City Don't Love Me",Light,6234,https://open.spotify.com/track/7AZ8APzmxt0McQXnEXBq44
96,Etsi,SNIK,6190,https://open.spotify.com/track/73d7q3kVVIgfCUK07bVIVH
97,"Torna a casa",Måneskin,6171,https://open.spotify.com/track/3590AAEoqH50z4UmhMIY85
98,"Lost Cause","Billie Eilish",5856,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
99,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",5831,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
100,Solfege,Immune,5828,https://open.spotify.com/track/7eZxh83S9spEfb3gAIcZZW
101,BED,"Joel Corry",5801,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
102,"Head & Heart (feat. MNEK)","Joel Corry",5796,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
103,Bosses,SNIK,5752,https://open.spotify.com/track/4lRQP4PC7ZHQnkPuq8N52N
104,Diamantia,Lamanif,5750,https://open.spotify.com/track/5hmpeCQhrq8nUFYhh45ihC
105,traitor,"Olivia Rodrigo",5742,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
106,Alitis,"Mad Clip",5635,https://open.spotify.com/track/3zCUHfPi1kl8EUUamLxaJ0
107,happier,"Olivia Rodrigo",5571,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
108,Fendi,"Dirty Harry",5508,https://open.spotify.com/track/5CZbxKM8Ibh3RmfB7xFAzm
109,Criminal,MG,5506,https://open.spotify.com/track/0oUuX5C3z1Z7I3sAGeJQ31
110,131X,"Dani Gambino",5494,https://open.spotify.com/track/6yUdOU2XSWqMFFfBEoW6RW
111,"Paradise (feat. Dermot Kennedy)",MEDUZA,5421,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
112,Dior,"Pop Smoke",5368,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
113,Prince,Fy,5358,https://open.spotify.com/track/4M8I7zcnQYsGH5thn1J0sC
114,"Morirò da Re",Måneskin,5354,https://open.spotify.com/track/1aX0Ki80LFzzhqxqRlqbAV
115,Sandra,TOQUEL,5316,https://open.spotify.com/track/73KYTCSbVlj5E02qWj8DPF
116,Neymar,Light,5313,https://open.spotify.com/track/2GOnF9OwX7CSCHzinCr3VY
117,210,Strat,5311,https://open.spotify.com/track/5AsNGwVP7bix0nae8y95kc
118,"Trifila - Remix","Thug Slime",5300,https://open.spotify.com/track/0v0XN0d4xUiP6r5DhiulRx
119,SUPERSTAR,MG,5290,https://open.spotify.com/track/28dgIVVQiTOZlYs3JForb7
120,"Need To Know","Doja Cat",5162,https://open.spotify.com/track/10hcDov7xmcRviA8jLwEaI
121,Hoodstars,GAMEBOY,5138,https://open.spotify.com/track/3F8ZuhmuIIIYkks2cqBiXZ
122,Whoopty,CJ,5125,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
123,Paliopaido,Josephine,5054,https://open.spotify.com/track/4B6JBE2UIUfXvNrX0Qr4Wx
124,Arcade,"Duncan Laurence",5046,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
125,"Vodka Vissino",Marseaux,5019,https://open.spotify.com/track/0ptLIKWWNdII8ppYT8aIpK
126,MPERKETI,"Dani Gambino",4964,https://open.spotify.com/track/3sDM5Gru9kHWuyWPnQVRwo
127,"Love Your Voice",JONY,4935,https://open.spotify.com/track/75VNPADAFa4iNpjEBUYMhF
128,"favorite crime","Olivia Rodrigo",4925,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
129,BBQ-2,RICTA,4919,https://open.spotify.com/track/2LSmxmTJ7DsSNTkf4tE9Ku
130,Assassini,Sadam,4867,https://open.spotify.com/track/6asSyzMm4KDZbEzQnkUO0p
131,Caliente,"Mente Fuerte",4833,https://open.spotify.com/track/3wjl3uPGckJUAeI5cRG0bZ
