,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
59,Mela!,"Ryokuoushoku Shakai",434363,https://open.spotify.com/track/6IO5nn84TKArsi3cjpIqaD
60,"Boy With Luv (feat. Halsey)",BTS,425187,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
61,10月無口な君を忘れる,あたらよ,419500,https://open.spotify.com/track/006u4CXVO2cusq08RrMElQ
62,春泥棒,ヨルシカ,416456,https://open.spotify.com/track/1rr2DJOxV0sHXeUXCAz1yf
63,分かってないよ,WurtS,415779,https://open.spotify.com/track/5wosJVYKzl3g7XElM98m23
64,優しい彗星,YOASOBI,401290,https://open.spotify.com/track/19fhOFi6pNGeZe5uiFlm7c
65,"Step and a step",NiziU,396300,https://open.spotify.com/track/5DgAgJbHcm74RyA9YKj6k1
66,マリーゴールド,Aimyon,395651,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
67,題名のない今日,HIRAIDAI,395144,https://open.spotify.com/track/6skNbV22epX2yHu4O2hYSx
68,あの夢をなぞって,YOASOBI,394427,https://open.spotify.com/track/5ptl2PXkiSth54HCuGO7vN
69,グッバイ宣言,Chinozo,394178,https://open.spotify.com/track/2gbVuqze7bpndIy1q9rFvv
70,怪獣の花唄,Vaundy,391454,https://open.spotify.com/track/4W29WmnGN1FlufURaBt8yw
71,Buddy,HIRAIDAI,390453,https://open.spotify.com/track/7xfPyBgb9om8iUooItxHl8
72,紅蓮華,LiSA,386141,https://open.spotify.com/track/0qMip0B2D4ePEjBJvAtYre
73,世界の秘密,Vaundy,377653,https://open.spotify.com/track/2T7ZvJAtL7xK04ww5rbmvo
74,ただ君に晴れ,ヨルシカ,370521,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
75,なないろ,"BUMP OF CHICKEN",366084,https://open.spotify.com/track/1k1zTwX433BlwP6FLOPBpD
76,CHILDAYS,"BLOOM VASE",357210,https://open.spotify.com/track/1g1AXdio16Yh5SXgPBXcfq
77,"Stay Gold",BTS,356706,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
78,WAVEBODY,"JP THE WAVY",355366,https://open.spotify.com/track/2N2qxWPU60swo6fm1SnOgr
79,しわあわせ,Vaundy,349921,https://open.spotify.com/track/3hrxTCRmw5mjaTMQhlryIc
80,Lemon,"Kenshi Yonezu",349233,https://open.spotify.com/track/4rvtqOGyTPZJwWtVTNdZbu
81,カーテンコール,yama,348261,https://open.spotify.com/track/5EBkv7Vl47e674Yi6Gk7zi
82,silent,"SEKAI NO OWARI",331434,https://open.spotify.com/track/6c5k0VC9TBzlcKwtjpzFW2
83,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",321104,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
84,Answer,幾田りら,319856,https://open.spotify.com/track/5hVAQTNarrb3lmWqg9Ens4
85,インフェルノ,"Mrs. GREEN APPLE",316593,https://open.spotify.com/track/2vOAHp8PBBFYqvQUWSoITY
86,まちがいさがし,"Masaki Suda",315139,https://open.spotify.com/track/55Ww4Pa1iIQMhh0MLMetjo
87,青と夏,"Mrs. GREEN APPLE",312409,https://open.spotify.com/track/5BC6kr6etk2Y9J62AyI4i3
88,正しくなれない,ZUTOMAYO,310231,https://open.spotify.com/track/2FHexlZenTsS3lsjUYHiDx
89,Universe,"Official HIGE DANdism",305082,https://open.spotify.com/track/6KLaKHxwJE3CZECVJLH4cN
90,香水,Eito,304321,https://open.spotify.com/track/786dSB84yrSaICJwCT7VxP
91,ヘビースモーク,にしな,300171,https://open.spotify.com/track/2RYRnaB7ekhnBpRFl3nZdG
92,"Levitating (feat. DaBaby)","Dua Lipa",296342,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
93,旅路,"Fujii Kaze",294738,https://open.spotify.com/track/1EM9pvygHqQm03as6sxLg9
94,ブルーベリー・ナイツ,"Macaroni Empitsu",293619,https://open.spotify.com/track/2UdvMWk0Z83lMJPbawy2Sm
95,"good 4 u","Olivia Rodrigo",289514,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
96,"Wherever you are","ONE OK ROCK",288623,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm
97,"I CAN'T STOP ME",TWICE,284307,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
98,星を仰ぐ,"Masaki Suda",281974,https://open.spotify.com/track/1xIytdeA5bfj2ONu4x9Mj3
99,"TEENAGE VIBE",kZm,281379,https://open.spotify.com/track/0X5j6Fw8077d74Q1WtyiqF
100,あかるいみらい,Mom,278663,https://open.spotify.com/track/5AUqOlLEL6ZmJnsezOHGqd
101,"HAPPY BIRTHDAY","back number",271046,https://open.spotify.com/track/4FMz2RFrbDGzJO7K4D0vS3
102,ぎゅっと。,もさを。,268743,https://open.spotify.com/track/6nqfKM9JvQIiuAuzWZFvGW
103,"Kiss Me More (feat. SZA)","Doja Cat",267350,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
104,"Build a Bitch","Bella Poarch",267225,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
105,恋唄,"Shota Shimizu",265831,https://open.spotify.com/track/5xrTkg0cv5l8pF1C42NSon
