,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Jalebi Baby (Tesher x Jason Derulo)",Tesher,85372,https://open.spotify.com/track/6FvSS3Goz7OC8oCC2eWqe8
56,"Elle m'a dit","Dj Quick",84244,https://open.spotify.com/track/09f02rYzeovvXJ0ubL4X44
57,Bebeto,"Kendji Girac",83719,https://open.spotify.com/track/5dQIouH7fnD63c0Nd7muR5
58,"Save Your Tears","The Weeknd",82092,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
59,"Attrape-moi si tu peux",Sofiane,78691,https://open.spotify.com/track/6LuAtG9sa0aU8GTMd9CQnO
60,Cabeza,OBOY,77757,https://open.spotify.com/track/66tNDqYNR2S6Svwgm3BMi9
61,"Follow You","Imagine Dragons",75876,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
62,Allo,"Marwa Loud",75402,https://open.spotify.com/track/5XRh9qvGFwy557Z9Sy8ADD
63,"Mendosa (feat. Ninho)",Dadinho,73418,https://open.spotify.com/track/2uo8wd7CvYhsSC8ofXp04R
64,"Pousse toi",Tiakola,72541,https://open.spotify.com/track/48ghUr9q4ZCKTGEGzdZJlj
65,"KASSAV (feat. Tiakola)",Gazo,72540,https://open.spotify.com/track/25PVU9aowaP69bSYRBe3sj
66,"Je t’aime de ouf",Wejdene,71764,https://open.spotify.com/track/5BUl0EBl4tOmPtT9IN0UUP
67,"Selfish Love (with Selena Gomez)","DJ Snake",71407,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
68,Fever,"Dua Lipa",71158,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
69,"Blinding Lights","The Weeknd",70652,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
70,"By Your Side (feat. Tom Grennan)","Calvin Harris",69683,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
71,"La vie qu'on mène",Ninho,68454,https://open.spotify.com/track/0Jh6iWjna1wk5le0Ahn7No
72,"Toute la noche (feat. Maître Gims)","Soso Maness",67994,https://open.spotify.com/track/7kmueDSUCCcDnEed0Tseow
73,Dinero,"Trinidad Cardona",67845,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
74,Daddy,SDM,66880,https://open.spotify.com/track/2iPFEYnitXLl4lSxvqZI3m
75,"Kimono (feat. SCH et Ninho)",Sadek,66314,https://open.spotify.com/track/54rHJPDt8DUE2RtSg6Bsrf
76,Minefields,Faouzia,66221,https://open.spotify.com/track/1OU4E4HiVjdak0mL4blVWT
77,"Υ. 2 DIAMANTS",Damso,66065,https://open.spotify.com/track/1swQocGVyXMAamWDjNzoLx
78,"Pilote (feat. Hamza)",PLK,64641,https://open.spotify.com/track/12GV2Wr4p1hBWQCrQcVsew
79,"1,2,3","Amel Bent",64611,https://open.spotify.com/track/7uCLrBdy5FH6T7vcJzqRd7
80,Run,OneRepublic,63846,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
81,"Tue ça","Koba LaD",63501,https://open.spotify.com/track/3UtfC16RDbJzJvDSgrqAUk
82,"Watermelon Sugar","Harry Styles",62749,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
83,Arcade,"Duncan Laurence",62715,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
84,BELLE,GIMS,62649,https://open.spotify.com/track/41xAUseykaaSdmry5hVOkV
85,"Dance Monkey","Tones And I",61656,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
86,"Tiki Taka",Benab,60458,https://open.spotify.com/track/5csxKPX4HuN8UDEdHUxcqz
87,EVIDEMMENT,"Green Montana",60102,https://open.spotify.com/track/4azG4CFB2tCEnfjagXSraz
88,"À cœur ouvert","Djadja & Dinaz",60037,https://open.spotify.com/track/1j9kCQ1R2mh2AAieXmZOZ5
89,"Mon soleil",Dadju,58901,https://open.spotify.com/track/2Dv1CPIgX29t816ZLscdB2
90,"Plaza Athénée",Booba,58541,https://open.spotify.com/track/3zfX77h21GrlhsiOuYnZNC
91,"Mannschaft (feat. Freeze Corleone)",SCH,58438,https://open.spotify.com/track/03cOUvF1fyW60AuUfUNiDc
92,Kayna,Booba,57707,https://open.spotify.com/track/1DSUiI4i5HBWTvDF721oj4
93,Butter,BTS,57477,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
94,Médusa,Landy,57007,https://open.spotify.com/track/2hL0WVDLvlxZ60J4YyWvFW
95,"Derrière le brouillard","Grand Corps Malade",56702,https://open.spotify.com/track/41mbANHqOIULPmYi5Hp4ey
96,"Coffre plein","Koba LaD",56677,https://open.spotify.com/track/70pkwEEG7nDTXBFqoGQkH0
97,"Madame Djé (Djenaba)",Vegedream,56614,https://open.spotify.com/track/2eRkKP3iv3Xb7nQunGBr6Y
98,"Sale histoire",Leto,56302,https://open.spotify.com/track/73qXFdtK3lrLzFjj9fYIkb
99,"Π. VANTABLACK",Damso,55378,https://open.spotify.com/track/2n3dCM1RqyhzH5FZQW4jxA
100,911,Damso,55214,https://open.spotify.com/track/2chIkORxBLpPVgruGiMY8k
101,"DLB 13","Soso Maness",55151,https://open.spotify.com/track/64v5RSiSNrlLHRoynPHhQ3
102,"I WANNA BE YOUR SLAVE",Måneskin,55068,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
103,"Téléphone - Extrait de CRCLR MVT SAISON II","Freeze corleone",55068,https://open.spotify.com/track/0FLegMOg3yN9e2zF5p9Vxb
104,"Marché noir",SCH,54412,https://open.spotify.com/track/3BDHFeYIrqGpL8HNkuI6zv
105,"En bas d'chez moi (feat. Naps)",Zaho,54125,https://open.spotify.com/track/6krN03tt9t43OAFiKvM00n
106,River,"Tom Gregory",53488,https://open.spotify.com/track/6jmIUrOD5seJEh6Z6RP2xz
107,Sirène,Larry,53097,https://open.spotify.com/track/0YBQKyzpWGDivSdi0OaXiH
108,6.3,Naps,52628,https://open.spotify.com/track/3lTL4LdFKVF51lseI2nk5D
109,"Cosmos - feat. PLK",Rim'K,52510,https://open.spotify.com/track/5hM1Bta5Ej1rRyOXStRIzH
110,"Dans la savane",DTF,52062,https://open.spotify.com/track/6LPQEPiXA54xGGdcqOdjdR
111,DÁKITI,"Bad Bunny",52042,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
112,"WITHOUT YOU","The Kid LAROI",51454,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
113,Irréversible,Jul,51153,https://open.spotify.com/track/3SVs240C1DW8ge7clwWCrd
114,"Lettre à une femme",Ninho,50817,https://open.spotify.com/track/5HEtuK03ygUzqca6yfgOYZ
115,"Vie de star (feat. Ninho)",Leto,50739,https://open.spotify.com/track/7toL2moA2sVueHJKDhVD0n
116,"Si tu savais - Saison 999","S.Pri Noir",50639,https://open.spotify.com/track/1Q5RL00YphNk3volIYRqyw
117,"Mood (feat. iann dior)",24kGoldn,50501,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
118,Polémique,"Freeze corleone",50481,https://open.spotify.com/track/5cTitJ7nqx8eeJCNIgdHjp
119,"Mango - Extrait de la BO de « En Passant Pécho »",Kore,50307,https://open.spotify.com/track/1mKg1S2CE0plkFkKRnZCwl
120,"Elles ont trop joué avec mon cœur",Jok'air,50191,https://open.spotify.com/track/5SqR7dxbJiTSadTaVEhZ04
121,Boyz,DTF,49835,https://open.spotify.com/track/6ft69yDa4wcxA1dh1thuIj
122,"Joli bébé",Naza,48871,https://open.spotify.com/track/1J4oMIhWDUd9cI1urhEyjl
123,"Titans (feat. Sia & Labrinth)","Major Lazer",48810,https://open.spotify.com/track/3MCteyAIvFaMpXtHd7lmh1
124,"En détente",Naps,48619,https://open.spotify.com/track/5HerMpAegwiAAFOIXNCxED
125,"Mother Fuck",Jul,48478,https://open.spotify.com/track/0QMHp1X3B5BGN6J3HynHT1
126,Alicante,Gambino,47598,https://open.spotify.com/track/6LuAw59JilwQieOcFW6vfe
127,Yonaguni,"Bad Bunny",47366,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
128,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",47188,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
129,Angela,Hatik,46914,https://open.spotify.com/track/6ab3CQvDlAVttThZucwGQ1
130,"Pour de vrai",Vianney,45938,https://open.spotify.com/track/6ixKI6i2vg8mTVtdzsGHYD
131,Footballeur,Vald,45632,https://open.spotify.com/track/2UnICGCIkxYsWnQ7taGnsN
132,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,45559,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
133,"Freeze Raël","Freeze corleone",45195,https://open.spotify.com/track/6DPrYPPGYK218iVIZDix3i
134,beau-papa,Vianney,44655,https://open.spotify.com/track/5wXkbtZO1HsOQ1P75zi35p
135,"Hecha Pa' Mi",Boza,44579,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
136,"Grand bain",Dadju,44047,https://open.spotify.com/track/0W4MOQ2kTOm1y7ooahgQP1
137,"9 1 1 3 (feat. SCH)",Zola,43571,https://open.spotify.com/track/3WCMzZvH2zK476lasbLx0s
138,"J'fais du sale","Moha K",43544,https://open.spotify.com/track/6OD2kgbk0RTUBCPUnc1dvw
139,"LOPSA STORY",1PLIKÉ140,43332,https://open.spotify.com/track/5IDnEkOCdOp1F0XTAMG3Rk
140,"La vie du binks (feat. Hornet La Frappe, Leto, Sadek, Soprano)","DA Uzi",43188,https://open.spotify.com/track/4tJYqq9gYr0RATc1BpDkpy
141,"Le billet",ISK,43003,https://open.spotify.com/track/731JjfIII1qYfeatc3zhtU
142,Zipette,Ninho,42992,https://open.spotify.com/track/1Lulg5ZiMEXy3QNwb1PB8I
143,"Higher Power",Coldplay,42745,https://open.spotify.com/track/0939D7aT18uBDS2MTjWzct
144,Fada,Soolking,42659,https://open.spotify.com/track/17tejn8Dt8IDKKRknPznPD
145,"Del Mar",Ozuna,42632,https://open.spotify.com/track/5cpJFiNwYyWwFLH0V6B3N8
146,"Chez nous",ISK,42607,https://open.spotify.com/track/7tSvju3LNrm3Lf2aw8raG0
147,"The Business",Tiësto,42569,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
148,Whoopty,CJ,42508,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
149,"Macaroni (feat. Ninho)",Leto,42305,https://open.spotify.com/track/4Z9CNGHElj2rLkB8mQdvnA
150,"La machine","Aya Nakamura",42277,https://open.spotify.com/track/4YcK0u6DgSg1jQqWYCXTBq
151,"Build a Bitch","Bella Poarch",42145,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
152,"ZITTI E BUONI",Måneskin,41952,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
153,"Todo De Ti","Rauw Alejandro",41897,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
154,"Ramenez la coupe à la maison",Vegedream,41757,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
155,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,41626,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
156,Galerie,Ziak,41566,https://open.spotify.com/track/2hsEYpnAtMH7CbZJajUU5C
157,"ALG 63",L'Algérino,41513,https://open.spotify.com/track/0wwsF9xdkQtXSRJiiZHHxy
158,"SUN GOES DOWN","Lil Nas X",41275,https://open.spotify.com/track/34eF4BoV8FPk0uhAAoqU7h
159,Bené,PNL,41003,https://open.spotify.com/track/00X2yv2vrtritPt2CZnUTZ
160,"Roses - Imanbek Remix","SAINt JHN",40891,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
161,"Je veux",Kamikaz,40884,https://open.spotify.com/track/2FHsE83xbrzzWusudCFpg1
162,Blanche,Maes,40199,https://open.spotify.com/track/5GyyPRvEwdI4wJSUbzxHQv
163,éternel,Hatik,40179,https://open.spotify.com/track/6qA7BY2EsWb5QfUeFzyV7I
164,"À la fête",UZI,40148,https://open.spotify.com/track/5TyBXMmVCtAxpOMTCILl8C
165,"Cœur noir",Eva,40126,https://open.spotify.com/track/0Z8DRG0HgZJ1bIhCQqyzPo
166,"Mais je t'aime","Grand Corps Malade",40042,https://open.spotify.com/track/2twcZTB1udOEzDCPpTiOju
167,"Φ. THEVIE RADIO",Damso,39969,https://open.spotify.com/track/4URf8X1z0ZGaPemh0dKx2M
168,Crack,SCH,39880,https://open.spotify.com/track/52yZydTRNmxinmjt5hjk95
169,Dior,"Pop Smoke",39698,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
170,"drivers license","Olivia Rodrigo",39622,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
171,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",39530,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
172,"RATPI WORLD",Booba,39391,https://open.spotify.com/track/2ZjTAieewsBC24kPGfLagc
173,"Me Gusta",DTF,39367,https://open.spotify.com/track/6P3FBaZfUjeWYExU2ShaPZ
174,"Ça va bien se passer",Nahir,39310,https://open.spotify.com/track/1orYQKuCNZ1gY06KJ4FhcB
175,"Bled (feat. Moha K)","DJ Kayz",39098,https://open.spotify.com/track/6AkipT8R573MOlOowv1l7L
176,"Au DD",PNL,38941,https://open.spotify.com/track/5lCxlSBFyP5g4EhVypAoOu
177,J'fly,Bebew,38520,https://open.spotify.com/track/2kQRGDr8EMesjnUFDKGNF3
178,"Seven Nation Army (feat. KOYSINA)",DMNDS,38467,https://open.spotify.com/track/2fzqpmKuYcNQS7clW1XxAS
179,"Dans tes yeux",Jul,38283,https://open.spotify.com/track/1JHjHIR5kmXRYCIdtTJKrr
180,"No blata",OBOY,38188,https://open.spotify.com/track/2oAmXX6Vp4c0cHxxiU4t4f
181,"Avant la douane",Jul,37894,https://open.spotify.com/track/3AwXhQWatI5b1sLIhsnOdP
182,Meleğim,Soolking,37885,https://open.spotify.com/track/0BD9boQC7jUTWkAoib4Z0d
183,Baianá,Bakermat,37859,https://open.spotify.com/track/780be5fB7823aHG06mwTat
184,"Si on disait","M. Pokora",37855,https://open.spotify.com/track/3fNwPIjTE0rOO9chAavgQG
185,"Θ. Macarena",Damso,37811,https://open.spotify.com/track/2ewjMyCbNv2X1dB2qIDCwD
186,Onizuka,PNL,37350,https://open.spotify.com/track/4GCIYE1x1TWJCChPkpy9by
187,"Trop beau",Lomepal,37348,https://open.spotify.com/track/4WB9OeauHXnGOMUK4s80gM
188,"We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song","Martin Garrix",37343,https://open.spotify.com/track/2iL0W5qi0ivZ9WRXbZ74cS
189,"Another Love","Tom Odell",36969,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
190,Italia,Jul,36968,https://open.spotify.com/track/11Mq1tJwmFOig3BXxjqcQr
