,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
60,Mela!,"Ryokuoushoku Shakai",59158,https://open.spotify.com/track/6IO5nn84TKArsi3cjpIqaD
61,10月無口な君を忘れる,あたらよ,56293,https://open.spotify.com/track/006u4CXVO2cusq08RrMElQ
62,春泥棒,ヨルシカ,55798,https://open.spotify.com/track/1rr2DJOxV0sHXeUXCAz1yf
63,優しい彗星,YOASOBI,55168,https://open.spotify.com/track/19fhOFi6pNGeZe5uiFlm7c
64,分かってないよ,WurtS,55077,https://open.spotify.com/track/5wosJVYKzl3g7XElM98m23
65,あの夢をなぞって,YOASOBI,54513,https://open.spotify.com/track/5ptl2PXkiSth54HCuGO7vN
66,"Kura Kura",TWICE,54253,https://open.spotify.com/track/0SiX8tNiIZskZrPiAh6XxX
67,怪獣の花唄,Vaundy,53689,https://open.spotify.com/track/4W29WmnGN1FlufURaBt8yw
68,グッバイ宣言,Chinozo,52769,https://open.spotify.com/track/2gbVuqze7bpndIy1q9rFvv
69,題名のない今日,HIRAIDAI,52088,https://open.spotify.com/track/6skNbV22epX2yHu4O2hYSx
70,"Stay Gold",BTS,51965,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
71,世界の秘密,Vaundy,51932,https://open.spotify.com/track/2T7ZvJAtL7xK04ww5rbmvo
72,紅蓮華,LiSA,51588,https://open.spotify.com/track/0qMip0B2D4ePEjBJvAtYre
73,マリーゴールド,Aimyon,51156,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
74,ただ君に晴れ,ヨルシカ,50621,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
75,"Step and a step",NiziU,50459,https://open.spotify.com/track/5DgAgJbHcm74RyA9YKj6k1
76,"Our Style",WILYWNKA,48472,https://open.spotify.com/track/2r31qQymHkEhfXlaBewBNb
77,又三郎,ヨルシカ,47823,https://open.spotify.com/track/3WtIXrla0ovC9MOIY78Vr8
78,Lemon,"Kenshi Yonezu",47508,https://open.spotify.com/track/4rvtqOGyTPZJwWtVTNdZbu
79,WAVEBODY,"JP THE WAVY",46288,https://open.spotify.com/track/2N2qxWPU60swo6fm1SnOgr
80,CHILDAYS,"BLOOM VASE",45601,https://open.spotify.com/track/1g1AXdio16Yh5SXgPBXcfq
81,カーテンコール,yama,45590,https://open.spotify.com/track/5EBkv7Vl47e674Yi6Gk7zi
82,なないろ,"BUMP OF CHICKEN",45078,https://open.spotify.com/track/1k1zTwX433BlwP6FLOPBpD
83,Answer,幾田りら,44317,https://open.spotify.com/track/5hVAQTNarrb3lmWqg9Ens4
84,"Presence IV",STUTS,44076,https://open.spotify.com/track/1oyv2lh8H3dI27aGV1OgPC
85,silent,"SEKAI NO OWARI",43850,https://open.spotify.com/track/6c5k0VC9TBzlcKwtjpzFW2
86,"PINK BLOOD","Hikaru Utada",43437,https://open.spotify.com/track/39lq5gU4lPc0rYVaRo0stH
87,まちがいさがし,"Masaki Suda",43313,https://open.spotify.com/track/55Ww4Pa1iIQMhh0MLMetjo
88,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",42865,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
89,インフェルノ,"Mrs. GREEN APPLE",42831,https://open.spotify.com/track/2vOAHp8PBBFYqvQUWSoITY
90,正しくなれない,ZUTOMAYO,42755,https://open.spotify.com/track/2FHexlZenTsS3lsjUYHiDx
91,"I CAN'T STOP ME",TWICE,42168,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
92,青と夏,"Mrs. GREEN APPLE",41941,https://open.spotify.com/track/5BC6kr6etk2Y9J62AyI4i3
93,ヘビースモーク,にしな,41717,https://open.spotify.com/track/2RYRnaB7ekhnBpRFl3nZdG
94,"華奢なリップ (feat. ちゃんみな)","Genie High",41647,https://open.spotify.com/track/0wOkiindak4Dx5e4CuylaP
95,"Levitating (feat. DaBaby)","Dua Lipa",41631,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
96,しわあわせ,Vaundy,40787,https://open.spotify.com/track/3hrxTCRmw5mjaTMQhlryIc
97,ブルーベリー・ナイツ,"Macaroni Empitsu",40464,https://open.spotify.com/track/2UdvMWk0Z83lMJPbawy2Sm
98,閃光,[Alexandros],40399,https://open.spotify.com/track/6orDsQsMy7BaqGoRWw3fVN
99,旅路,"Fujii Kaze",40031,https://open.spotify.com/track/1EM9pvygHqQm03as6sxLg9
100,香水,Eito,39742,https://open.spotify.com/track/786dSB84yrSaICJwCT7VxP
101,Universe,"Official HIGE DANdism",39581,https://open.spotify.com/track/6KLaKHxwJE3CZECVJLH4cN
102,"Wherever you are","ONE OK ROCK",39275,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm
103,"Build a Bitch","Bella Poarch",38762,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
104,"good 4 u","Olivia Rodrigo",37743,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
105,ON,BTS,37679,https://open.spotify.com/track/3cbLHmmEPvTgHKvl53WYiy
106,"TEENAGE VIBE",kZm,37365,https://open.spotify.com/track/0X5j6Fw8077d74Q1WtyiqF
107,星を仰ぐ,"Masaki Suda",37253,https://open.spotify.com/track/1xIytdeA5bfj2ONu4x9Mj3
108,"HAPPY BIRTHDAY","back number",36644,https://open.spotify.com/track/4FMz2RFrbDGzJO7K4D0vS3
109,"Presence I",STUTS,36451,https://open.spotify.com/track/1LFDJayKmDC8eGnDHWbLjv
110,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",36328,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
111,ぎゅっと。,もさを。,36236,https://open.spotify.com/track/6nqfKM9JvQIiuAuzWZFvGW
112,benefits,Vaundy,36053,https://open.spotify.com/track/3kbJ7RL0v0Qm6GQ9hbac3i
113,君はロックを聴かない,Aimyon,35540,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM
114,ハルノヒ,Aimyon,35433,https://open.spotify.com/track/1oNeSCt0CMekCyyLo06kFs
115,DNA,BTS,35391,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH
116,花に亡霊,ヨルシカ,35273,https://open.spotify.com/track/3FUqp10RhCmMjyyB9extmo
117,僕のこと,"Mrs. GREEN APPLE",35258,https://open.spotify.com/track/0tnhoHUrHfcLi9hPknUFZ4
118,Lights,BTS,35245,https://open.spotify.com/track/3TDUktzfYXMWjkWqwoT5F1
119,高嶺の花子さん,"back number",35191,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l
120,ノーダウト,"Official HIGE DANdism",34752,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV
121,"Kiss Me More (feat. SZA)","Doja Cat",34624,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
122,Laughter,"Official HIGE DANdism",34152,https://open.spotify.com/track/1SdwlHsv8bWHbAlIw5Jfgo
123,ワタリドリ,[Alexandros],33908,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
124,あかるいみらい,Mom,33885,https://open.spotify.com/track/5AUqOlLEL6ZmJnsezOHGqd
125,"Feel Special",TWICE,33771,https://open.spotify.com/track/14rWuS6yllHOdfZ8sZsZUj
126,Shukumei,"Official HIGE DANdism",33628,https://open.spotify.com/track/0XaHPBAzPAC5ubwcRBqc1p
127,Telepathy,BTS,33282,https://open.spotify.com/track/2FVpOsjT1iquZ3SpCjZ9Ne
128,夜のピエロ,Ado,33241,https://open.spotify.com/track/59bPgyrdKgjWkcjxcYoaox
